ID,Scheduled,PassThru,Start Time,End Time,Event,School Name,School Code,Sport,PubPoint
2141d0c0-a846-41ec-8088-37473c0fdd9e,scheduled,False,1618081200,1618088400,UMass Lowell vs. Stony Brook (Game 2),America East Conference,aeast,Softball,stonybrook_4
f9d41750-2ff2-47a1-aee9-8699a4a83407,scheduled,False,1618084800,1618110000,Purdue vs Penn State,Pennsylvania State University,psu,Baseball,psu_audio3
24f03837-8553-455c-9e2d-7df756ba219e,scheduled,False,1618073400,1618083000,vs. Evansville (DH-1) (Audio Only),Southern Illinois University at Carbondale,silu,Softball,salukis_audio3
c614f439-bad8-4995-9331-c8b870be8c74,scheduled,False,1618158600,1610052184,Rockford vs. Aurora (Game 1),Rockford University,rckf,Baseball,RockfordU_1
5251cd75-4da8-495a-99c5-112517169ed9,scheduled,False,1618084800,1618097400,Baseball vs Bowling Green,Central Michigan University,cmu,Baseball,centralmich_3
aa8f3f42-624c-4c18-8808-cfa763a08217,conflict,False,1618079400,1618090200,Holy Cross at Colgate,Patriot League,patr,Men's Soccer,colgate_1
2f679fec-dbb9-462c-bcef-f32aa7fb7f87,scheduled,False,1618072200,1618084800,vs. DeSales University,King's College (Pennsylvania),kipa,Women's Lacrosse,kings_1
7d49272d-22fe-4629-8e60-65e2207bbadd,scheduled,False,1618075800,1618090200,MLAX v Villanova (10 APR 21) - Audio,University of Denver,denv,Men's Lacrosse,denver_audio1
6d07af27-56f8-412f-8c35-4dc0cb61eac7,conflict,False,1617997200,1618009200,vs. Madonna University (Mich.),Cornerstone University,cose,Baseball,cornerstone_2
9dc2fcd6-d896-4581-928b-e31436b3b900,scheduled,False,1618011000,1618029000,Behind-the-Mic,Texas Tech University,text,Baseball,texastech_BTM
5e24000b-1c72-4c47-8679-0d5d28304ad8,scheduled,False,1617825600,1617836400,WSoccer vs Suffolk CC,Nassau Community College,nass,Women's Soccer,nassau_1
68d1d443-ba59-489d-bc19-f0dbc3d59a84,scheduled,False,1618016400,1618034400,vs. Northern Colorado,Grand Canyon University,gcan,Baseball,GCU_3
ef2e292f-de89-4d01-94c3-faffede9888f,scheduled,False,1617834600,1617847200,vs. Arcadia University,King's College (Pennsylvania),kipa,Men's Lacrosse,kings_1
86d89eaa-1503-4eff-8eb2-885fe04cd1c9,scheduled,False,1617832800,1617843600,MSoccer vs Suffolk CC,Nassau Community College,nass,Men's Soccer,nassau_2
333ca374-0592-4590-9cb2-5cb6522081af,scheduled,False,1618068600,1618081200,Navy at Lehigh,Patriot League,patr,Women's Lacrosse,lehigh_1
5938cb87-7b71-4902-acde-df5395013f71,scheduled,False,1618160400,1618174800,UWG Baseball vs. Union,University of West Georgia,wega,Baseball,westgeorgia_audio2
46759fbf-d661-4697-80b4-02f45078ede2,scheduled,False,1618167600,1618185600,vs. Illinois Wesleyan University,North Central College,noce,Men's Soccer,northcentral_1
cfb90835-dc4c-402c-9706-de85f9152a16,scheduled,True,1618006560,1618027140,vs LSU presented by Kentucky Legend,University of Kentucky,kty,Baseball,
1fffa8bc-e088-45f8-884d-d9ecaa146f65,scheduled,False,1618075500,1618086300,vs. Team Canada,University of Florida,fla,Softball,gators_audio1
fa4e017b-b959-47f9-9a20-1e46a96ccf29,scheduled,False,1618006500,1618016400,Field Hockey vs. Temple,VILLANOVA UNIVERSITY,nova,Field Hockey,villanova_1
c9d491d2-7d5e-40aa-a598-5671870ce2f9,scheduled,False,1618084800,1618102800,vs. Northern Colorado,Grand Canyon University,gcan,Baseball,GCU_3
2225dedf-776e-4da2-baa2-5358d27592bd,scheduled,True,1618080300,1618102800,vs. Rice,Louisiana Tech University,latc,Baseball,
f1e87988-1e5f-4707-8dc1-dc773937041a,scheduled,False,1618156800,1618174800,vs. Carroll University,North Central College,noce,Women's Soccer,northcentral_2
2849ef7f-3579-4371-ab08-ac4dd7386c3c,scheduled,False,1618163700,1618181700,Demon Baseball vs. Lamar,Northwestern State University,nwst,Baseball,nsula_audio4
8bde1502-ed71-4f33-84db-e90e6371b6fc,scheduled,False,1617826500,1617841800,"North Central University vs University of Wisconsin, Superior",North Central University,ncun,Men's Soccer,ncu_1
4aaf45f6-dcfa-4dd5-b475-d997f3fb2184,scheduled,True,1617922800,1616769166,Carolina Calls,"University of South Carolina, Columbia",scar,Baseball,
024c2e33-91c5-443b-bf00-06beb451e3dc,scheduled,False,1618159800,1618171200,SB: Middle Tennessee vs Marshall,Conference USA,c-usa,Softball,mtsu_softball
72f2aa0f-ee87-4033-bda6-bf0209d7f97a,scheduled,False,1617749700,1617777000,vs. McNeese State,LSU,lsu,Baseball,lsu_1
6feb402b-c9a1-4a82-bb94-5ea04ed93744,scheduled,True,1618004700,1618020000,vs. Wake Forest,Virginia Tech,vtec,Baseball,
5045b460-0798-42a0-87be-0f328b96328f,scheduled,True,1618008300,1618030800,vs. UAB,University of Southern Mississippi,smis,Baseball,
6e4cee88-2019-478e-ac0d-8cee9a555bb7,scheduled,True,1617843600,1617847200,The Grizzly Coach's Show,University of Montana,mont,Football,
5b2520df-7795-472c-be08-b5791ca9c88f,scheduled,False,1618068600,1618083000,Providence vs UConn,Providence College,prov,Softball,providence_3
9959b3f5-c341-4537-a73f-8ce7ca4b43b2,scheduled,False,1618156200,1618167600,vs. Ashland,Davenport University,dave,Baseball,davenport_1
145d8ea2-26e7-4456-85a6-fbb5c943b989,scheduled,False,1618079400,1618088400,vs. Lenoir-Rhyne University,Newberry College,nwbr,Softball,newberry_4
fc299546-8e91-4529-9737-dac7cda64491,scheduled,True,1618008600,1618027200,vs. Bellarmine (Audio Only),Southern Illinois University at Carbondale,silu,Baseball,
6fa074c5-83c6-4c6c-af5c-e651c81b936d,scheduled,False,1617925500,1617654762,vs. North Central College,Loras College,lora,Men's Volleyball,loras_1
60e6d1a7-eb97-4b50-afa4-44bbf181ee9e,scheduled,False,1617748200,1617768000,vs. Arkansas - Pine Bluff,Kansas State University,ksu,Baseball,kstate_audio3
73c1139d-6264-4dfa-bc32-cea65fa09645,scheduled,True,1618083900,1618099200,at Troy (Audio Only),University of Louisiana at Lafayette,ulaf,Softball,
